Key;;;;;;;;;;;;;;
mandatory_service;Service by Requirement;;;;;;;;;;;;;
mandatory_service_l;Service by Requirement;;;;;;;;;;;;;
mandatory_service_desc;All adult males must serve in the military. The government can draft conscripts for as long as it wants.;All adult males must serve in the military.;;;;;;;;;;;;
movement_mandatory_service;Mandatory Service Movement.;;;;;;;;;;;;;
four_year_draft;Four Year Draft;Four Year Draft;Four Year Draft;;Four Year Draft;;;;;;;;;
four_year_draft_l;Four Year Draft;Four Year Draft;Four Year Draft;;Four Year Draft;;;;;;;;;
four_year_draft_desc;Conscripts are drafted for four years.;Conscripts are drafted for four years.;Conscripts are drafted for four years.;;Conscripts are drafted for four years.;;;;;;;;;
movement_four_year_draft;Movement for Four Year Draft Implementation;;;;;;;;;;;;;
two_year_draft;Two Year Draft;Two Year Draft;Two Year Draft;;Two Year Draft;;;;;;;;;
two_year_draft_l;Two Year Draft;Two Year Draft;Two Year Draft;;Two Year Draft;;;;;;;;;
two_year_draft_desc;Conscripts are drafted for two years.;Conscripts are drafted for two years.;Conscripts are drafted for two years.;;Conscripts are drafted for two years.;;;;;;;;;
movement_two_year_draft;Movement for Two Year Draft Implementation;;;;;;;;;;;;;
one_year_draft;One Year Draft;One Year Draft;One Year Draft;;One Year Draft;;;;;;;;;
one_year_draft_l;One Year Draft;One Year Draft;One Year Draft;;One Year Draft;;;;;;;;;
one_year_draft_desc;Conscripts are drafted for one year.;Conscripts are drafted for one year.;Conscripts are drafted for one year.;;Conscripts are drafted for one year.;;;;;;;;;
movement_one_year_draft;Movement for One Year Draft Implementation;;;;;;;;;;;;;
no_draft;No Draft;No Draft;No Draft;;No Draft;;;;;;;;;
no_draft_l;No Draft;No Draft;No Draft;;No Draft;;;;;;;;;
no_draft_desc;No conscription.;No conscription.;No conscription.;;No conscription.;;;;;;;;;
conscription;Conscription;Conscription;Conscription;;Conscription;;;;;;;;;
yes_slavery_desc;Slavery is allowed.\n§RThis reform affects POP promotion chance - promotion will be slower, both globally and even more in slave states.§W\n§YPops in Slave states will be more conservative and less liberal. Immigrants are less likely to choose slave states.§W\n§GThe slave population will grow.§W;;;;;;;;;;;;;
freedom_of_womb;Freedom of Womb;;;;;;;;;;;;;
freedom_of_womb_l;Freedom of Womb Law;;;;;;;;;;;;;
freedom_of_womb_desc;Slaves children are freed at birth and, in most cases, old slaves are also freed. The slave population stops growing. \n§RThis reform affects POP promotion chance - promotion will be slower, both globally and even more in slave states.§W\n§YPops in Slave states will be more conservative and less liberal. Immigrants are less likely to choose slave states.§W\n§RThe slave population will stop growing.§W;;;;;;;;;;;;;
movement_freedom_of_womb;Freedom of Womb Campaign;;;;;;;;;;;;;
no_slavery;Outlawed;;;;;;;;;;;;;
no_slavery_desc;Slavery is forbidden.;;;;;;;;;;;;;
no_slavery_l;Outlaw Slavery;;;;;;;;;;;;;
citizens_rights;Political Rights;;;;;;;;;;;;;
primary_culture_only;Restricted Rights;;;;;;;;;;;;;
