TAG;;;;;;;;;;;;;;x;;;;
THU;Thuringia;Thuringe;Thüringen;;Turingia;;;;;;;;;x;;;;
SGM;Sigmaringen;Sigmaringen;Sigmaringen;;Sigmaringen;;;;;;;;;x;;;;
GEN;Genoa;Gênes;Genua;Génova;;;;;;;;;x;;;;
HLL;Holland;Hollande;Holland;Holanda;;;;;;;;;x;;;;
BRB;Brabant;Brabant;Brabant;Brabante;;;;;;;;;x;;;;
FRI;Friesland;Frise;Friesland;Frisia;;;;;;;;;x;;;;
BRG;Burgundy;Bourgogne;Burgund;Borgoña;;;;;;;;;x;;;;
BWU;Baden-Wurttemberg;Bade-Wurtemberg;Baden-Württemberg;Baden-Wurttemberg;;;;;;;;;x;;;;
PAL;Palatinate;Palatinat;Pfalz;Palatinado;;;;;;;;;x;;;;
WST;Westphalia;Westphalie;Westfalen;Westfalia;;;;;;;;;x;;;;
HSS;Hesse;Hesse;Hessen;Hesse;;;;;;;;;x;;;;
BRN;Brandenburg;Brandebourg;Brandenburg;Brandeburgo;;;;;;;;;x;;;;
HSL;The Hansa;La Hansa;Die Hansa;El Hansa;;;;;;;;;x;;;;
POM;Pomerania;Poméranie;Pommern;Pomerania;;;;;;;;;x;;;;
SIL;Silesia;Silésie;Schlesien;Silesia;;;;;;;;;x;;;;
URH;United Rhine Federation;Fédération Rhénane Unie;Vereinigte Rhein Föderation;Federación de Renania Unida;;;;;;;;;x;;;;
SUL;Sulu;Sulu;Sulu;;Sulu;;;;;;;;;x;;;;
NOC;North Italian Confederation;Confédération d'Italie du Nord;Norditalienischer Bund;;Confederación del Norte de Italia;;;;;;;;;x;;;;
BRP;Brandenburg-Prussia;Brandebourg-Prusse;Brandenburg-Preußen;;Brandeburgo-Prusia;;;;;;;;;x;;;;
NHO;Nieuw Holland;Nieuw Holland;Nieuw Holland;;Nueva Holanda;;;;;;;;;x;;;;
NNL;Nieuw Nederland;Nieuw Nederland;Nieuw Nederland;;Nieuw Nederland;;;;;;;;;x;;;;
WGF;West German Confederation;Confédération Ouest-Allemande;Westdeutscher Bund;;Confederación de Alemania Occidental;;;;;;;;;x;;;;
EGF;East German Confederation;Confédération Est-allemande;Ostdeutscher Bund;;Confederación de Alemania Oriental;;;;;;;;;x;;;;
WGF_ADJ;West German;Allemand de l'Ouest;Westdeutsch;;Alemán Occidental;;;;;;;;;x;;;;
EGF_ADJ;East German;Est Allemand;Ostdeutsch;;Alemán Oriental;;;;;;;;;x;;;;
NNL_ADJ;Nieuw Nederlands;Nieuw Nederlands;Nieuw Nederlands;;Nieuw Nederlands;;;;;;;;;x;;;;
BRP_ADJ;Brandenburgian-Prussian;Brandebourgeois-Prussien;Brandenburgisch-Preußisch;;Brandeburgo-Prusiano;;;;;;;;;x;;;;
NHO_ADJ;Nieuw Hollands;Nieuw Hollands;Nieuw Hollands;;Nieuw Hollands;;;;;;;;;x;;;;
